timestamp,user_id,url,response_time,status_code
2026-06-01 00:21:00,1002,/home,90,200
2026-06-01 00:26:00,1012,/profile,42,200
2026-06-01 00:28:00,1001,/profile,75,200
2026-06-01 00:48:00,1001,/cart,70,200
2026-06-01 01:11:00,1009,/logout,76,403
2026-06-01 01:20:00,1013,/home,60,200
2026-06-01 01:31:00,1005,/login,75,401
2026-06-01 01:42:00,1002,/profile,117,200
2026-06-01 02:10:00,1006,/about,87,200
2026-06-01 02:34:00,1008,/cart,51,404
2026-06-01 02:47:00,1002,/cart,95,200
2026-06-01 03:07:00,1015,/payment,793,200
2026-06-01 03:09:00,1011,/api/v1/data,247,500
2026-06-01 03:12:00,1014,/api/v1/data,271,200
2026-06-01 03:21:00,1008,/payment,733,200
2026-06-01 03:28:00,1011,/admin,38,200
2026-06-01 03:34:00,1009,/api/v1/data,91,200
2026-06-01 03:43:00,1015,/cart,76,200
2026-06-01 04:10:00,1013,/home,78,200
2026-06-01 04:36:00,1006,/logout,88,200
2026-06-01 05:06:00,1010,/payment,835,502
2026-06-01 05:19:00,1015,/shop,56,200
2026-06-01 05:27:00,1012,/cart,87,200
2026-06-01 05:41:00,1015,/about,122,200
2026-06-01 05:46:00,1009,/shop,43,200
2026-06-01 06:14:00,1002,/login,60,200
2026-06-01 06:28:00,1010,/profile,118,200
2026-06-01 06:43:00,1009,/admin,22,200
2026-06-01 06:47:00,1011,/cart,88,200
2026-06-01 06:58:00,1002,/admin,131,429
2026-06-01 06:59:00,1012,/admin,148,200
2026-06-01 07:16:00,1015,/profile,96,200
2026-06-01 07:33:00,1010,/api/v1/data,89,200
2026-06-01 07:39:00,1009,/cart,20,200
2026-06-01 07:55:00,1001,/profile,112,200
2026-06-01 08:22:00,1013,/admin,81,200
2026-06-01 08:51:00,1010,/profile,41,408
2026-06-01 09:18:00,1002,/cart,52,200
2026-06-01 09:34:00,1009,/login,87,200
2026-06-01 09:54:00,1007,/api/v1/data,287,200
2026-06-01 10:18:00,1012,/api/v1/data,232,200
2026-06-01 10:40:00,1011,/payment,1297,503
2026-06-01 10:55:00,1002,/api/v1/data,107,200
2026-06-01 10:56:00,1010,/cart,78,200
2026-06-01 10:57:00,1002,/home,78,200
2026-06-01 10:59:00,1014,/payment,545,200
2026-06-01 11:08:00,1011,/shop,74,200
2026-06-01 11:32:00,1015,/about,141,200
2026-06-01 11:48:00,1013,/logout,68,200
2026-06-01 12:10:00,1007,/payment,1267,500
